,Ua022,Ua023,Ua024,Ua036,Ua046,Ua052,Ua073,Ua130,Ua021,Ua034,Ua040,Ua043,Ua044,Ua045,Ua049,Ua050,Ua057,Ua062,Ua064,Ua067,Ua069,Ua072,Ua074,Ua077,Ua079,Ua083,Ua084,Ua088,Ua089,Ua090,Ua091,Ua095,Ua096,Ua097,Ua098,Ua104,Ua105,Ua106,Ua107,Ua112,Ua117,Ua119,Ua121,Ua125,Ua128,Ua129,Ua131,Ua133,Ua134,Ua136
,pre,pre,pre,pre,pre,pre,pre,pre,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post,post
329,942,2066,1184,3653,142,1284,1936,18,603,1524,397,2100,693,312,625,644,3353,935,116,36,49,0,25,14449,3651,1724,2994,11,3197,537,50,4460,1819,0,305,5338,5476,14369,7379,1853,11742,1059,0,719,580,923,2148,501,2609,200
292,1491,1130,709,2225,63,733,2387,0,1153,851,265,0,139,185,384,1554,1202,411,86,26,0,0,17,6370,1434,507,663,0,2086,255,0,2087,929,0,0,2604,2674,9425,4403,919,10379,482,0,216,353,0,993,224,1280,120
43770,1482,1253,521,3629,60,382,1026,44,1302,1715,179,7187,0,216,790,1248,1122,1296,102,30,131,0,30,5973,15091,2852,1586,7,3785,1114,56,2402,1176,11,236,2283,1651,2762,2617,407,4998,573,0,377,1232,624,2743,131,1048,158
1270,671,731,466,4547,18,438,748,24,408,1237,0,1748,0,325,591,1613,823,752,98,38,159,2716,20,5547,3703,2033,2291,20,3776,761,92,954,483,34,252,0,838,1604,2257,617,1914,416,364,380,692,399,670,132,968,65
1283,0,0,0,0,0,0,0,0,0,0,1599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718,6905,8046,1293,11780,522,2102,3954,445,8224,8305,647,60766,800,1681,3255,9565,6230,10185,980,264,1059,7689,298,30760,66119,19546,3906,65,21235,7505,785,14725,10059,88,976,13090,4892,16607,6113,824,27052,2368,642,1658,8613,5981,18137,1354,6402,1261
43767,0,0,0,1055,20,170,0,0,431,328,0,1242,0,98,0,351,362,358,0,12,0,0,5,0,2454,772,471,7,0,266,0,780,0,5,0,0,591,0,1024,0,0,164,0,0,199,0,0,0,395,39
1772,0,443,0,1179,0,239,0,0,235,480,0,1509,0,105,0,490,411,307,0,0,43,0,5,0,2627,631,537,0,0,320,0,678,366,0,0,0,475,1054,1162,0,1194,171,0,0,260,0,426,96,454,0
1766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,60,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193462,0,0,0,1290,0,177,0,0,138,429,0,0,0,129,0,454,411,214,0,13,0,0,4,0,1370,582,541,6,1502,288,0,0,0,13,0,0,459,0,813,0,1130,126,0,0,271,0,330,96,334,0
